,id,date,balance,contract
111,1000016070,2017-07-02,417000000,2017-03-13
112,1000016070,2017-07-03,417000000,2017-03-13
113,1000016070,2017-07-04,417000000,2017-03-13
114,1000016070,2017-07-05,417000000,2017-03-13
115,1000016070,2017-07-06,417000000,2017-03-13
116,1000016070,2017-07-07,417000000,2017-03-13
117,1000016070,2017-07-08,417000000,2017-03-13
118,1000016070,2017-07-09,417000000,2017-03-13
119,1000016070,2017-07-10,417000000,2017-03-13
120,1000016070,2017-07-11,417000000,2017-03-13
121,1000016070,2017-07-12,417000000,2017-03-13
122,1000016070,2017-07-13,417000000,2017-03-13
123,1000016070,2017-07-14,417000000,2017-03-13
124,1000016070,2017-07-15,417000000,2017-03-13
125,1000016070,2017-07-16,417000000,2017-03-13
126,1000016070,2017-07-17,417000000,2017-03-13
127,1000016070,2017-07-18,417000000,2017-03-13
128,1000016070,2017-07-19,417000000,2017-03-13
129,1000016070,2017-07-20,417000000,2017-03-13
130,1000016070,2017-07-21,417000000,2017-03-13
131,1000016070,2017-07-22,417000000,2017-03-13
132,1000016070,2017-07-23,417000000,2017-03-13
133,1000016070,2017-07-24,417000000,2017-03-13
134,1000016070,2017-07-25,417000000,2017-03-13
135,1000016070,2017-07-26,417000000,2017-03-13
136,1000016070,2017-07-27,417000000,2017-03-13
137,1000016070,2017-07-28,417000000,2017-03-13
138,1000016070,2017-07-29,417000000,2017-03-13
139,1000016070,2017-07-30,417000000,2017-03-13
140,1000016070,2017-07-31,417000000,2017-03-13
141,1000016070,2017-08-01,417000000,2017-03-13
142,1000016070,2017-08-02,417000000,2017-03-13
143,1000016070,2017-08-03,417000000,2017-03-13
144,1000016070,2017-08-04,417000000,2017-03-13
145,1000016070,2017-08-05,417000000,2017-03-13
146,1000016070,2017-08-06,417000000,2017-03-13
147,1000016070,2017-08-07,417000000,2017-03-13
148,1000016070,2017-08-08,417000000,2017-03-13
149,1000016070,2017-08-09,417000000,2017-03-13
150,1000016070,2017-08-10,417000000,2017-03-13
151,1000016070,2017-08-11,417000000,2017-03-13
152,1000016070,2017-08-12,417000000,2017-03-13
153,1000016070,2017-08-13,417000000,2017-03-13
154,1000016070,2017-08-14,417000000,2017-03-13
155,1000016070,2017-08-15,417000000,2017-03-13
156,1000016070,2017-08-16,417000000,2017-03-13
157,1000016070,2017-08-17,417000000,2017-03-13
158,1000016070,2017-08-18,417000000,2017-03-13
159,1000016070,2017-08-19,417000000,2017-03-13
160,1000016070,2017-08-20,417000000,2017-03-13
161,1000016070,2017-08-21,417000000,2017-03-13
162,1000016070,2017-08-22,417000000,2017-03-13
163,1000016070,2017-08-23,417000000,2017-03-13
164,1000016070,2017-08-24,417000000,2017-03-13
165,1000016070,2017-08-25,417000000,2017-03-13
166,1000016070,2017-08-26,417000000,2017-03-13
167,1000016070,2017-08-27,417000000,2017-03-13
168,1000016070,2017-08-28,417000000,2017-03-13
169,1000016070,2017-08-29,417000000,2017-03-13
170,1000016070,2017-08-30,417000000,2017-03-13
171,1000016070,2017-08-31,417000000,2017-03-13
172,1000016070,2017-09-01,417000000,2017-03-13
173,1000016070,2017-09-02,417000000,2017-03-13
174,1000016070,2017-09-03,417000000,2017-03-13
175,1000016070,2017-09-04,417000000,2017-03-13
176,1000016070,2017-09-05,417000000,2017-03-13
177,1000016070,2017-09-06,417000000,2017-03-13
178,1000016070,2017-09-07,417000000,2017-03-13
179,1000016070,2017-09-08,417000000,2017-03-13
180,1000016070,2017-09-09,417000000,2017-03-13
181,1000016070,2017-09-10,417000000,2017-03-13
182,1000016070,2017-09-11,417000000,2017-03-13
183,1000016070,2017-09-12,417000000,2017-03-13
184,1000016070,2017-09-13,417000000,2017-03-13
185,1000016070,2017-09-14,417000000,2017-03-13
186,1000016070,2017-09-15,417000000,2017-03-13
187,1000016070,2017-09-16,417000000,2017-03-13
188,1000016070,2017-09-17,417000000,2017-03-13
189,1000016070,2017-09-18,417000000,2017-03-13
190,1000016070,2017-09-19,417000000,2017-03-13
191,1000016070,2017-09-20,417000000,2017-03-13
192,1000016070,2017-09-21,417000000,2017-03-13
193,1000016070,2017-09-22,417000000,2017-03-13
194,1000016070,2017-09-23,417000000,2017-03-13
195,1000016070,2017-09-24,417000000,2017-03-13
196,1000016070,2017-09-25,417000000,2017-03-13
197,1000016070,2017-09-26,417000000,2017-03-13
198,1000016070,2017-09-27,417000000,2017-03-13
199,1000016070,2017-09-28,417000000,2017-03-13
200,1000016070,2017-09-29,417000000,2017-03-13
201,1000016070,2017-09-30,417000000,2017-03-13
202,1000016070,2017-10-01,417000000,2017-03-13
203,1000016070,2017-10-02,417000000,2017-03-13
204,1000016070,2017-10-03,417000000,2017-03-13
205,1000016070,2017-10-04,417000000,2017-03-13
206,1000016070,2017-10-05,417000000,2017-03-13
207,1000016070,2017-10-06,417000000,2017-03-13
208,1000016070,2017-10-07,417000000,2017-03-13
209,1000016070,2017-10-08,417000000,2017-03-13
210,1000016070,2017-10-09,417000000,2017-03-13
211,1000016070,2017-10-10,417000000,2017-03-13
212,1000016070,2017-10-11,417000000,2017-03-13
213,1000016070,2017-10-12,417000000,2017-03-13
214,1000016070,2017-10-13,417000000,2017-03-13
215,1000016070,2017-10-14,417000000,2017-03-13
216,1000016070,2017-10-15,417000000,2017-03-13
217,1000016070,2017-10-16,417000000,2017-03-13
218,1000016070,2017-10-17,417000000,2017-03-13
219,1000016070,2017-10-18,417000000,2017-03-13
220,1000016070,2017-10-19,417000000,2017-03-13
221,1000016070,2017-10-20,417000000,2017-03-13
222,1000016070,2017-10-21,417000000,2017-03-13
223,1000016070,2017-10-22,417000000,2017-03-13
224,1000016070,2017-10-23,417000000,2017-03-13
225,1000016070,2017-10-24,417000000,2017-03-13
226,1000016070,2017-10-25,417000000,2017-03-13
227,1000016070,2017-10-26,417000000,2017-03-13
228,1000016070,2017-10-27,417000000,2017-03-13
229,1000016070,2017-10-28,417000000,2017-03-13
230,1000016070,2017-10-29,417000000,2017-03-13
231,1000016070,2017-10-30,417000000,2017-03-13
232,1000016070,2017-10-31,417000000,2017-03-13
233,1000016070,2017-11-01,417000000,2017-03-13
234,1000016070,2017-11-02,417000000,2017-03-13
235,1000016070,2017-11-03,417000000,2017-03-13
236,1000016070,2017-11-04,417000000,2017-03-13
237,1000016070,2017-11-05,417000000,2017-03-13
238,1000016070,2017-11-06,417000000,2017-03-13
239,1000016070,2017-11-07,417000000,2017-03-13
240,1000016070,2017-11-08,417000000,2017-03-13
241,1000016070,2017-11-09,417000000,2017-03-13
242,1000016070,2017-11-10,417000000,2017-03-13
243,1000016070,2017-11-11,417000000,2017-03-13
244,1000016070,2017-11-12,417000000,2017-03-13
245,1000016070,2017-11-13,417000000,2017-03-13
246,1000016070,2017-11-14,417000000,2017-03-13
247,1000016070,2017-11-15,417000000,2017-03-13
248,1000016070,2017-11-16,417000000,2017-03-13
249,1000016070,2017-11-17,417000000,2017-03-13
250,1000016070,2017-11-18,417000000,2017-03-13
251,1000016070,2017-11-19,417000000,2017-03-13
252,1000016070,2017-11-20,417000000,2017-03-13
253,1000016070,2017-11-21,417000000,2017-03-13
254,1000016070,2017-11-22,417000000,2017-03-13
255,1000016070,2017-11-23,417000000,2017-03-13
256,1000016070,2017-11-24,417000000,2017-03-13
257,1000016070,2017-11-25,417000000,2017-03-13
258,1000016070,2017-11-26,417000000,2017-03-13
259,1000016070,2017-11-27,417000000,2017-03-13
260,1000016070,2017-11-28,417000000,2017-03-13
261,1000016070,2017-11-29,417000000,2017-03-13
262,1000016070,2017-11-30,417000000,2017-03-13
263,1000016070,2017-12-01,417000000,2017-03-13
264,1000016070,2017-12-02,417000000,2017-03-13
265,1000016070,2017-12-03,417000000,2017-03-13
266,1000016070,2017-12-04,417000000,2017-03-13
267,1000016070,2017-12-05,417000000,2017-03-13
268,1000016070,2017-12-06,417000000,2017-03-13
269,1000016070,2017-12-07,417000000,2017-03-13
270,1000016070,2017-12-08,417000000,2017-03-13
271,1000016070,2017-12-09,417000000,2017-03-13
272,1000016070,2017-12-10,417000000,2017-03-13
273,1000016070,2017-12-11,417000000,2017-03-13
274,1000016070,2017-12-12,417000000,2017-03-13
275,1000016070,2017-12-13,417000000,2017-03-13
276,1000016070,2017-12-14,417000000,2017-03-13
277,1000016070,2017-12-15,417000000,2017-03-13
