id,date,balance
1000016070.0,2017-03-13,687000000.0
1000016070.0,2017-03-14,687000000.0
1000016070.0,2017-03-15,687000000.0
1000016070.0,2017-03-16,687000000.0
1000016070.0,2017-03-17,687000000.0
1000016070.0,2017-03-18,687000000.0
1000016070.0,2017-03-19,687000000.0
1000016070.0,2017-03-20,687000000.0
1000016070.0,2017-03-21,687000000.0
1000016070.0,2017-03-22,687000000.0
1000016070.0,2017-03-23,687000000.0
1000016070.0,2017-03-24,687000000.0
1000016070.0,2017-03-25,687000000.0
1000016070.0,2017-03-26,687000000.0
1000016070.0,2017-03-27,687000000.0
1000016070.0,2017-03-28,687000000.0
1000016070.0,2017-03-29,687000000.0
1000016070.0,2017-03-30,687000000.0
1000016070.0,2017-03-31,687000000.0
1000016070.0,2017-04-01,687000000.0
1000016070.0,2017-04-02,687000000.0
1000016070.0,2017-04-03,687000000.0
1000016070.0,2017-04-04,687000000.0
1000016070.0,2017-04-05,417000000.0
1000016070.0,2017-04-06,417000000.0
1000016070.0,2017-04-07,417000000.0
1000016070.0,2017-04-08,417000000.0
1000016070.0,2017-04-09,417000000.0
1000016070.0,2017-04-10,417000000.0
1000016070.0,2017-04-11,417000000.0
1000016070.0,2017-04-12,417000000.0
1000016070.0,2017-04-13,417000000.0
1000016070.0,2017-04-14,417000000.0
1000016070.0,2017-04-15,417000000.0
1000016070.0,2017-04-16,417000000.0
1000016070.0,2017-04-17,417000000.0
1000016070.0,2017-04-18,417000000.0
1000016070.0,2017-04-19,417000000.0
1000016070.0,2017-04-20,417000000.0
1000016070.0,2017-04-21,417000000.0
1000016070.0,2017-04-22,417000000.0
1000016070.0,2017-04-23,417000000.0
1000016070.0,2017-04-24,417000000.0
1000016070.0,2017-04-25,417000000.0
1000016070.0,2017-04-26,417000000.0
1000016070.0,2017-04-27,417000000.0
1000016070.0,2017-04-28,417000000.0
1000016070.0,2017-04-29,417000000.0
1000016070.0,2017-04-30,417000000.0
1000016070.0,2017-05-01,417000000.0
1000016070.0,2017-05-02,417000000.0
1000016070.0,2017-05-03,417000000.0
1000016070.0,2017-05-04,417000000.0
1000016070.0,2017-05-05,417000000.0
1000016070.0,2017-05-06,417000000.0
1000016070.0,2017-05-07,417000000.0
1000016070.0,2017-05-08,417000000.0
1000016070.0,2017-05-09,417000000.0
1000016070.0,2017-05-10,417000000.0
1000016070.0,2017-05-11,417000000.0
1000016070.0,2017-05-12,417000000.0
1000016070.0,2017-05-13,417000000.0
1000016070.0,2017-05-14,417000000.0
1000016070.0,2017-05-15,417000000.0
1000016070.0,2017-05-16,417000000.0
1000016070.0,2017-05-17,417000000.0
1000016070.0,2017-05-18,417000000.0
1000016070.0,2017-05-19,417000000.0
1000016070.0,2017-05-20,417000000.0
1000016070.0,2017-05-21,417000000.0
1000016070.0,2017-05-22,417000000.0
1000016070.0,2017-05-23,417000000.0
1000016070.0,2017-05-24,417000000.0
1000016070.0,2017-05-25,417000000.0
1000016070.0,2017-05-26,417000000.0
1000016070.0,2017-05-27,417000000.0
1000016070.0,2017-05-28,417000000.0
1000016070.0,2017-05-29,417000000.0
1000016070.0,2017-05-30,417000000.0
1000016070.0,2017-05-31,417000000.0
1000016070.0,2017-06-01,417000000.0
1000016070.0,2017-06-02,417000000.0
1000016070.0,2017-06-03,417000000.0
1000016070.0,2017-06-04,417000000.0
1000016070.0,2017-06-05,417000000.0
1000016070.0,2017-06-06,417000000.0
1000016070.0,2017-06-07,417000000.0
1000016070.0,2017-06-08,417000000.0
1000016070.0,2017-06-09,417000000.0
1000016070.0,2017-06-10,417000000.0
1000016070.0,2017-06-11,417000000.0
1000016070.0,2017-06-12,417000000.0
1000016070.0,2017-06-13,417000000.0
1000016070.0,2017-06-14,417000000.0
1000016070.0,2017-06-15,417000000.0
1000016070.0,2017-06-16,417000000.0
1000016070.0,2017-06-17,417000000.0
1000016070.0,2017-06-18,417000000.0
1000016070.0,2017-06-19,417000000.0
1000016070.0,2017-06-20,417000000.0
1000016070.0,2017-06-21,417000000.0
1000016070.0,2017-06-22,417000000.0
1000016070.0,2017-06-23,417000000.0
1000016070.0,2017-06-24,417000000.0
1000016070.0,2017-06-25,417000000.0
1000016070.0,2017-06-26,417000000.0
1000016070.0,2017-06-27,417000000.0
1000016070.0,2017-06-28,417000000.0
1000016070.0,2017-06-29,417000000.0
1000016070.0,2017-06-30,417000000.0
1000016070.0,2017-07-01,417000000.0
1000016070.0,2017-07-02,417000000.0
1000016070.0,2017-07-03,417000000.0
1000016070.0,2017-07-04,417000000.0
1000016070.0,2017-07-05,417000000.0
1000016070.0,2017-07-06,417000000.0
1000016070.0,2017-07-07,417000000.0
1000016070.0,2017-07-08,417000000.0
1000016070.0,2017-07-09,417000000.0
1000016070.0,2017-07-10,417000000.0
1000016070.0,2017-07-11,417000000.0
1000016070.0,2017-07-12,417000000.0
1000016070.0,2017-07-13,417000000.0
1000016070.0,2017-07-14,417000000.0
1000016070.0,2017-07-15,417000000.0
1000016070.0,2017-07-16,417000000.0
1000016070.0,2017-07-17,417000000.0
1000016070.0,2017-07-18,417000000.0
1000016070.0,2017-07-19,417000000.0
1000016070.0,2017-07-20,417000000.0
1000016070.0,2017-07-21,417000000.0
1000016070.0,2017-07-22,417000000.0
1000016070.0,2017-07-23,417000000.0
1000016070.0,2017-07-24,417000000.0
1000016070.0,2017-07-25,417000000.0
1000016070.0,2017-07-26,417000000.0
1000016070.0,2017-07-27,417000000.0
